°ê®a¥N½X,CERT
SG,
GE,
KR,
LK,
TH,
JP,
MN,
ID,
BD,
MY,
VN,
AE,
OM,
CN,
RU,
HK,
AZ,
TR,
KH,
NP,
MU,
IL,
IL,
PH,
IN,
PK,
IR,
US,
CA,
BR,
CL,
AR,
PE,
CO,
EC,
UY,
MX,
TT,
GT,
PA,
AU,
NZ,
PL,
CH,
DE,
RO,
SE,
NO,
EU,
LV,
FI,
CZ,
AT,
BY,
HR,
DK,
LT,
FR,
NATO,
GR,
UA,
ES,
BE,
SI,
PT,
HU,
EE,
IT,
GB,
SK,
MC,
BG,
RS,
HR,
MD,
ZA,
TZ,
DZ,
EG,
ET,
ZM,
TN,
KE,
SD,
NG,
UA,
ES,
BE,
PT,
HU,
EE,
IT,
GB,
UK,
SK,
MC,
BG,
RS,
HR,
MD,
NL,
ZA,
TZ,
DZ,
EG,
ET,
ZM,
TN,
SD,
NG,
AD,
AF,
AG,
AI,
AL,
AM,
AO,
AQ,
AS,
AW,
AX,
BA,
BB,
BF,
BH,
BI,
BJ,
BL,
BM,
BN,
BO,
BQ,
BS,
BT,
BV,
BW,
BZ,
CC,
CD,
CF,
CG,
CI,
CK,
CM,
CR,
CU,
CV,
CW,
CX,
CY,
DJ,
DM,
DO,
EH,
ER,
FJ,
FK,
FM,
FO,
GA,
GD,
GF,
GG,
GH,
GI,
GL,
GM,
GN,
GP,
GQ,
GS,
GU,
GW,
GY,
HM,
HN,
HT,
IE,
IM,
IO,
IQ,
IS,
JE,
JM,
JO,
KG,
KI,
KM,
KN,
KP,
KW,
KY,
KZ,
LA,
LB,
LC,
LI,
LR,
LS,
LU,
LY,
MA,
ME,
MF,
MG,
MH,
MK,
ML,
MM,
MO,
MP,
MQ,
MR,
MS,
MT,
MV,
MW,
MZ,
NA,
NC,
NE,
NF,
NI,
NR,
NU,
PF,
PG,
PM,
PN,
PR,
PS,
PW,
PY,
QA,
RE,
RW,
SA,
SB,
SC,
SH,
SJ,
SL,
SM,
SN,
SO,
SR,
SS,
ST,
SV,
SX,
SY,
SZ,
TC,
TD,
TF,
TG,
TJ,
TK,
TL,
TM,
TO,
TV,
TW,
UG,
UM,
UZ,
VA,
VC,
VE,
VG,
VI,
VU,
WF,
WS,
YE,
YT,
ZW,
UNKNOWN,
