ASN.,Netname,ASN單位,核發日期
AS131149,YUANJHEN-NET,遠振資訊有限公司,2013-03-21
AS131150,TANET-NET,教育部,2013-06-25
AS38850,TIGC-NET,台灣國際纜網通信股份有限公司,2013-09-17
AS131151,NCTAIWAN-NET,吉恩立數位科技股份有限公司,2013-11-06
AS131584,TAIFO7716-NET,台灣智慧光網股份有限公司,2013-11-13
AS131585,PUMO-NET,捕夢網數位科技有限公司,2014-03-17
AS131586,NCICNET-NET,新世紀資通股份有限公司,2014-03-17
AS131587,MEGAICBC-NET,兆豐國際商業銀行,2014-04-09
AS131588,FISC-NET,財金資訊股份有限公司,2014-04-15
AS131589,FOXCONN-NET,鴻海精密工業股份有限公司,2014-05-08
AS131590,TCB-NET,合作金庫銀行,2014-05-28
AS131591,AMBIT-NET,國碁電子股份有限公司,2014-08-07
AS131592,TWT-NET,天外天興業股份有限公司,2014-09-19
AS131593,PEGATRON-NET,和碩聯合科技股份有限公司,2014-11-18
AS131594,APT-NET,亞太電信股份有限公司,2015-06-11
AS131595,KTCFE-NET,遠東金士頓科技股份有限公司,2015-06-17
AS131596,TBCOM-NET,台灣寬頻通訊顧問股份有限公司,2015-08-07
AS131597,NCDTV-NET,新彰數位有線電視股份有限公司,2015-10-23
AS131598,HINET-NET,中華電信股份有限公司,2015-11-10
AS131599,WISTRON-NET,緯創資通股份有限公司,2015-11-19
AS131600,CHIEF-TW-NET,是方電訊股份有限公司,2015-12-14
AS131601,DCT-NET,雲高科技股份有限公司,2016-01-20
AS131602,HYA-NET,新永安有線電視股份有限公司,2016-01-20
AS131603,WSN-TW-NET,華世達有限公司,2016-03-08
AS131604,CATVISP-NET,超宇網際網路國際股份有限公司,2016-07-11
AS131605,DRCLOUD-NET,無敵科技股份有限公司,2016-07-15
AS18048,HONGJAY-NET,鋐捷科技股份有限公司,2016-11-03
AS131606,CHIEF-TW-NET,是方電訊股份有限公司,2017-02-07
AS131607,DCTV-NET,全國數位有線電視股份有限公司,2017-02-20
AS131608,CHIEF-TW-NET,是方電訊股份有限公司,2017-03-08
AS131609,TIDC-NET,台灣綠建科技股份有限公司,2017-08-28
AS131610,ANSON-NET,安訊國際網路有限公司,2017-09-15
AS131611,SDTV-NET,三大有線電視股份有限公司,2017-09-15
AS131612,CHTIDC-NET,中華電信數據通信分公司雲端系統處,2017-11-02
AS131613,SHINCHENG-NET,鑫晟數位股份有限公司,2018-01-09
AS131614,TAIWANMOBILE-NET,台灣大哥大股份有限公司,2018-02-21
AS131615,CHIEF-TW-NET,是方電訊股份有限公司,2018-03-31
AS131616,CHIEF-TW-NET,是方電訊股份有限公司,2018-03-31
